id;entity_type;entity_id;field_name;old_value;new_value;usuario;fecha_modificacion
1;sharply riser off;24148;mask phew;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oh;2025-12-05T02:18:38
2;unto duh;5030;gosh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;utilization unfortunately;2025-12-05T11:12:28
3;up;5113;forceful candid natural;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;verify whoever cork;2025-12-04T21:38:30
4;crank crank save;29912;accidentally vice transparency;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;adventurously hoarse;2025-12-05T14:50:03
5;camouflage lumbering because;18886;ick misfire fatal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;crank respray so;2025-12-05T10:37:03
6;if;29671;how yak lamp;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ugh er;2025-12-04T22:39:57
7;duh;15552;doubtfully potentially;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;instead ouch;2025-12-05T08:13:11
8;if before;5872;around beneath dearly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;inscribe cautiously dearly;2025-12-05T05:22:24
9;loosely;1978;brr acclaimed;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;warm;2025-12-05T16:02:18
10;frizzy rudely;12006;deceivingly smoggy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;before shrilly bah;2025-12-05T03:39:27
