id;description;category;developer_id
1;../fake-data/blob/hipster.txt;even apropos plus;1
2;../fake-data/blob/hipster.txt;geez;2
3;../fake-data/blob/hipster.txt;cloudy if supposing;3
4;../fake-data/blob/hipster.txt;yet;4
5;../fake-data/blob/hipster.txt;prestigious ugh;5
6;../fake-data/blob/hipster.txt;ah;6
7;../fake-data/blob/hipster.txt;reproachfully;7
8;../fake-data/blob/hipster.txt;draw yum;8
9;../fake-data/blob/hipster.txt;jaywalk tempting completion;9
10;../fake-data/blob/hipster.txt;ha gurn;10
