id;technical_match;ai_technical_affinity;ai_motivational_affinity;ai_experience_relevance;ai_comment;created_at;project_id;developer_id
1;17727.9;15095;9297;10279;../fake-data/blob/hipster.txt;broadly ah;1;1
2;13592.57;28591;24799;536;../fake-data/blob/hipster.txt;sometimes best;2;2
3;10016.78;17118;31673;17814;../fake-data/blob/hipster.txt;toward gestate version;3;3
4;5871.13;30510;1620;5260;../fake-data/blob/hipster.txt;under overcooked vivaciously;4;4
5;18354.18;17078;17015;16457;../fake-data/blob/hipster.txt;whenever rue splay;5;5
6;30374.73;8627;19414;19140;../fake-data/blob/hipster.txt;mountain;6;6
7;27405.77;28947;10737;29724;../fake-data/blob/hipster.txt;reorient whereas;7;7
8;4055.54;12146;9761;14233;../fake-data/blob/hipster.txt;throughout delightfully a;8;8
9;12217.19;5568;16405;8786;../fake-data/blob/hipster.txt;vivaciously igloo what;9;9
10;5408.7;16407;1459;30009;../fake-data/blob/hipster.txt;unaccountably expert newsletter;10;10
