id;name;description;experience_level;project_type;status;usuario_creacion;usuario_modificacion;fecha_creacion;fecha_modificacion
1;yum peppery controvert;../fake-data/blob/hipster.txt;ah;forenenst yum beside;productive midst;along psst marathon;aside;2025-12-05T09:20:17;2025-12-05T10:25:48
2;trivial hutch;../fake-data/blob/hipster.txt;smoothly or;whole critical;masquerade gah;ceramic;toothpick that sermon;2025-12-05T08:26:31;2025-12-05T07:00:32
3;french vet;../fake-data/blob/hipster.txt;before wound um;tenement reporter;unrealistic pfft;by aha;indeed jam-packed;2025-12-05T16:30:57;2025-12-05T02:07:50
4;muscat through reorganisation;../fake-data/blob/hipster.txt;tensely;woefully that violently;by spectate;blah besides;godfather storyboard lest;2025-12-04T17:58:48;2025-12-05T11:50:57
5;frankly tricky replacement;../fake-data/blob/hipster.txt;phew gosh loose;printer er;meanwhile midst;gee clinking aw;unless;2025-12-05T16:55:13;2025-12-05T10:52:49
6;help confound without;../fake-data/blob/hipster.txt;kettledrum however;fireplace until;ramp;disapprove;split mushy yowza;2025-12-05T10:57:34;2025-12-05T06:14:07
7;indeed always;../fake-data/blob/hipster.txt;colorless wetly buzzing;ah;flowery;eulogise furiously quaff;collaboration;2025-12-05T06:02:25;2025-12-04T21:26:28
8;wisely;../fake-data/blob/hipster.txt;rekindle astride stupendous;or far-flung;goodwill knottily;ew reward woefully;loyalty near finally;2025-12-05T12:25:45;2025-12-05T13:09:32
9;proliferate yahoo;../fake-data/blob/hipster.txt;lovingly gladly;lamp;indeed enchanted;injunction after;yet mechanic because;2025-12-04T22:53:21;2025-12-05T08:44:47
10;geez lobster yawningly;../fake-data/blob/hipster.txt;bind inexperienced;loosely limited;brown knowledgeable uh-huh;of outflank;underneath an;2025-12-05T07:54:58;2025-12-05T09:12:42
